"id","name_en","name_fr","map_url","website","address1","address2","zip_code","country","state","city"
"118","École de Danse Montréal NDG","École de Danse Montréal NDG","https://www.google.ca/maps/place/6380+Rue+Sherbrooke+O,+Montr%C3%A9al,+QC+H4B+1N1/data=!4m2!3m1!1s0x4cc910ca95a9a9a3:0x75d9d084fc6882c6?sa=X&ved=2ahUKEwjDnLXls9HcAhWlrFkKHY3yBQkQ8gEwAHoECAAQAQ","https://www.facebook.com/%C3%89cole-de-Danse-Montr%C3%A9al-NDG-140521850013053/","6380 Rue Sherbrooke O","","H4B 1N1","Canada","Quebec","Montréal"
"163","Espace culturel Georges-Émile-Lapalme","Espace culturel Georges-Émile-Lapalme","https://www.google.com/maps/place/Place+des+Arts/@45.5083235,-73.5686252,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc91a4ed7c23fd3:0x586dc216d8c34686!8m2!3d45.5083198!4d-73.5664312","https://placedesarts.com/","175 Saint-Catherine St, Montreal, QC H2X 1Y9","","H2X 1Y9","Canada","Quebec","Montreal"
"156","Espace Knox","Espace Knox","https://www.google.ca/search?q=espace+knox&oq=Espace+Knox&aqs=chrome.0.0l2.193j0j1&sourceid=chrome&ie=UTF-8#","https://www.espaceknox.ca/","6215 Avenue Godfrey","","H4B 1K3","Canada","QC","Montreal"
"142","Espace POP","Espace POP","https://www.google.com/maps/place/5587+Park+Ave,+Montreal,+QC+H2V+4H2/@45.5226355,-73.604917,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc91978e6ece3eb:0xa02bca6a6e7f941e!8m2!3d45.5226355!4d-73.6027283","https://popmontreal.com/en/pop-space/","5587 Avenue du Parc","","H2V 4S8","Canada","QC","Montreal"
"18","Foufounes Electriques","Foufounes Electriques","https://maps.google.ca/maps?q=foufounes+87+st+catherine+est+montreal&ie=UTF-8&ei=JaBdUpKrE8K0ygHT3YCYDw&ved=0CAoQ_AUoAg","http://foufounes.qc.ca","87 Ste-Catherine E.","","H2X 1K5","Canada","Quebec","Montréal"
"169","Grenade","Grenade","https://www.eventbrite.com/e/her-montreal-bush-a-queer-t-dance-tickets-63773627637?aff=ebdssbdestsearch#map-target","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwjhuufqtLjjAhUkVt8KHQr_DN4QFjAAegQIABAC&url=https%3A%2F%2Fwww.grenadebar.ca%2F&usg=AOvVaw0-1ow-ReTYnNY14TKmJKE3","1603 Rue Ontario Est","","H2L 1S5","Canada","QC","Montreal"
"117","Harold Greenspon Auditorium","Harold Greenspon Auditorium","https://www.google.ca/maps/place/5801+Boul+Cavendish,+C%C3%B4te+Saint-Luc,+QC+H4W+2X8/data=!4m2!3m1!1s0x4cc917719ea5e2e7:0x91ccdb5587c5a885?sa=X&ved=2ahUKEwjm6oX6pdHcAhUPxVkKHQyuBIkQ8gEwAHoECAIQAQ","http://www.cotesaintluc.org/RentalAud","5801 boulevard Cavendish","","H4W 2X8","Canada","Quebec","Côte Saint-Luc"
"152","Infinithéâtre","Infinithéâtre","https://www.google.ca/maps/vt/data=NBLyMqPx7aCP3T6MDhtKNcjhVWHSrrT1I2_mMCPoZAsf0MEuDn2bPnIsHDgzgQEyOMqEj4qnr9oLGWB2yfnOzzqmcRxWRCl_sERjIazxKMdhUaNb24o3EASrCDr6J21JSUgJQQJlhLKD-nNnCp32YXe8SzptVWp6BWdJPa00KYUBlPTBeyAX1b3mx4ab--TwiY-PT7qwm_OZsb8WzBT7MYIAy1O5F","http://www.infinitheatre.com/","5413 St Laurent Blvd","","H2T 1S5","Canada","QC","Montreal"
"155","Jean-Duceppe Theatre","Théâtre Jean-Duceppe","https://www.google.ca/search?q=theatre+jean+duceppe&oq=theatre+jean+&aqs=chrome.0.0j69i57j0l4.1623j0j1&sourceid=chrome&ie=UTF-8#","https://duceppe.com/","175 Saint-Catherine St W","","H2X 1Z8","Canada","Quebec","Montreal"
"162","Jean-Duceppe Theatre","Théâtre Jean-Duceppe","https://www.google.com/maps/place/Th%C3%A9%C3%A2tre+Jean-Duceppe+(theater)/@45.5086942,-73.5652318,15z/data=!4m2!3m1!1s0x0:0xdc9d3fef23534c89?ved=2ahUKEwjU4Z_mosbgAhVnzlkKHZjBBhkQ_BIwDXoECAYQCA","https://duceppe.com/","175 Saint-Catherine St West","","H2X 1Z8","Canada","Quebec","Montreal"
"126","Kafein café-bar","Kafein café-bar","https://www.google.ca/maps/place/Kafein+cafe-bar/@45.4972054,-73.5771157,15z/data=!4m2!3m1!1s0x0:0xf35cb8c18a36fb1?sa=X&ved=2ahUKEwi71sGh5tHcAhUYIzQIHQpzDekQ_BIwD3oECAoQCw","http://kafein.ca/","1429a rue Bishop","","H3G2E4","Canada","QC","Montreal"
"39","Katacombes","Katacombes","https://www.google.ca/maps/place/Coop+De+Travail+Katacombes/@45.51131,-73.566523,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x5c66749bdf0365f0","http://www.Katacombes.com","1635 St-Laurent","","H2X 2S9","Canada","Quebec","Montréal"
"174","L'ANTI Bar & Spectacles","L'ANTI Bar & Spectacles","https://www.google.com/maps?q=L%E2%80%99Anti+Bar+%26+Spectacles&uact=5&um=1&ie=UTF-8&sa=X&ved=0ahUKEwixpdup6tPlAhVrUd8KHWdSDLQQ_AUIEigB","https://lanti.ca/","251 Rue Dorchester","","G1K 5Z6","Canada","Quebec","Quebec"
"29","L'Arsenal","L'Arsenal","https://www.google.com/maps/preview?ie=UTF-8&q=Arsenal&fb=1&hq=arsenal+montreal&cid=12565049118755643475&ei=aCczU4XiCKnr0gGCv4E4&ved=0CKcBEPwSMAs","http://arsenalmontreal.com","2020 Rue William","","H3J 1R8","Canada","Quebec","Montréal"
"38","L'Astral","L'Astral","https://www.google.ca/maps/place/L'Astral/@45.5068285,-73.5668666,17z/data=!4m2!3m1!1s0x0:0x34390274de602491","http://www.sallelastral.com/","305 Ste-Catherine O","","H2X 2A3","Canada","Quebec","Montréal"
"102","L'Astral - Salle Stevie Wonder","L'Astral - Salle Stevie Wonder","https://www.google.ca/maps/place/L'Astral/@45.5068285,-73.5668666,17z/data=!4m2!3m1!1s0x0:0x34390274de602491","http://www.sallelastral.com/","305 Ste. Catherine Street W. ","","H2X 2A3","Canada","Quebec","Montreal"
"98","L'Impérial Bell","L'Impérial Bell","https://www.google.com/maps/place/Imp%C3%A9rial+Bell/@46.8134202,-71.2283011,19z/data=!3m1!4b1!4m12!1m6!4m5!1m0!1m3!2m2!1d-71.2277526!2d46.8134202!3m4!1s0x4cb89671c1c88319:0x1e3648e972790baa!8m2!3d46.8134202!4d-71.2277526?hl=fr","https://www.imperialbell.com/Imperial-Bell/Programmation","252 Rue Saint-Joseph Est","","G1K 3A9","Canada","Quebec","Quebec"
